Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
"7,776.00","7,799.99",475.12,1090.49
"7,800.00","7,807.99",474.12,1089.49
"7,808.00","7,823.99",473.12,1088.49
"7,824.00","7,847.99",472.12,1087.49
"7,848.00","7,855.99",471.12,1086.49
"7,856.00","7,871.99",470.12,1085.49
"7,872.00","7,895.99",469.12,1084.49
"7,896.00","7,903.99",468.12,1083.49
"7,904.00","7,919.99",467.12,1082.49
"7,920.00","7,943.99",466.12,1081.49
"7,944.00","7,951.99",465.12,1080.49
"7,952.00","7,967.99",464.12,1079.49
"7,968.00","7,991.99",463.12,1078.49
"7,992.00","7,999.99",462.12,1077.49
"8,000.00","8,015.99",461.12,1076.49
"8,016.00","8,039.99",460.12,1075.49
"8,040.00","8,047.99",459.12,1074.49
"8,048.00","8,063.99",458.12,1073.49
"8,064.00","8,087.99",457.12,1072.49
"8,088.00","8,095.99",456.12,1071.49
"8,096.00","8,111.99",455.12,1070.49
"8,112.00","8,135.99",454.12,1069.49
"8,136.00","8,143.99",453.12,1068.49
"8,144.00","8,159.99",452.12,1067.49
"8,160.00","8,183.99",451.12,1066.49
"8,184.00","8,191.99",450.12,1065.49
"8,192.00","8,207.99",449.12,1064.49
"8,208.00","8,231.99",448.12,1063.49
"8,232.00","8,239.99",447.12,1062.49
"8,240.00","8,255.99",446.12,1061.49
"8,256.00","8,279.99",445.12,1060.49
"8,280.00","8,287.99",444.12,1059.49
"8,288.00","8,303.99",443.12,1058.49
"8,304.00","8,327.99",442.12,1057.49
"8,328.00","8,335.99",441.12,1056.49
"8,336.00","8,351.99",440.12,1055.49
"8,352.00","8,375.99",439.12,1054.49
"8,376.00","8,383.99",438.12,1053.49
"8,384.00","8,399.99",437.12,1052.49
"8,400.00","8,423.99",436.12,1051.49
"8,424.00","8,431.99",435.12,1050.49
"8,432.00","8,447.99",434.12,1049.49
"8,448.00","8,471.99",433.12,1048.49
"8,472.00","8,479.99",432.12,1047.49
"8,480.00","8,495.99",431.12,1046.49
"8,496.00","8,519.99",430.12,1045.49
"8,520.00","8,527.99",429.12,1044.49
"8,528.00","8,543.99",428.12,1043.49
"8,544.00","8,567.99",427.12,1042.49
"8,568.00","8,575.99",426.12,1041.49
"8,576.00","8,591.99",425.12,1040.49
"8,592.00","8,615.99",424.12,1039.49
"8,616.00","8,623.99",423.12,1038.49
"8,624.00","8,639.99",422.12,1037.49
"8,640.00","8,663.99",421.12,1036.49
"8,664.00","8,671.99",420.12,1035.49
"8,672.00","8,687.99",419.12,1034.49
"8,688.00","8,711.99",418.12,1033.49
"8,712.00","8,719.99",417.12,1032.49
"8,720.00","8,735.99",416.12,1031.49
"8,736.00","8,759.99",415.12,1030.49
"8,760.00","8,767.99",414.12,1029.49
"8,768.00","8,783.99",413.12,1028.49
"8,784.00","8,807.99",412.12,1027.49
"8,808.00","8,815.99",411.12,1026.49
"8,816.00","8,831.99",410.12,1025.49
"8,832.00","8,855.99",409.12,1024.49
"8,856.00","8,863.99",408.12,1023.49
"8,864.00","8,879.99",407.76,1023.13
"8,880.00","8,903.99",406.76,1022.13
"8,904.00","8,927.99",405.76,1021.13
"8,928.00","8,951.99",404.76,1020.13
"8,952.00","8,975.99",403.76,1019.13
"8,976.00","8,999.99",402.76,1018.13
"9,000.00","9,023.99",401.76,1017.13
"9,024.00","9,047.99",400.76,1016.13
"9,048.00","9,071.99",399.76,1015.13
"9,072.00","9,095.99",398.76,1014.13
"9,096.00","9,119.99",397.76,1013.13
"9,120.00","9,143.99",396.76,1012.13
"9,144.00","9,167.99",395.76,1011.13
"9,168.00","9,191.99",394.76,1010.13
"9,192.00","9,215.99",393.76,1009.13
"9,216.00","9,239.99",392.76,1008.13
"9,240.00","9,263.99",391.76,1007.13
"9,264.00","9,287.99",390.76,1006.13
"9,288.00","9,311.99",389.76,1005.13
"9,312.00","9,335.99",388.76,1004.13
"9,336.00","9,359.99",387.76,1003.13
"9,360.00","9,383.99",386.76,1002.13
"9,384.00","9,407.99",385.76,1001.13
"9,408.00","9,431.99",384.76,1000.13
"9,432.00","9,455.99",383.76,999.13
"9,456.00","9,479.99",382.76,998.13
"9,480.00","9,503.99",381.76,997.13
"9,504.00","9,527.99",380.76,996.13
"9,528.00","9,551.99",379.76,995.13
"9,552.00","9,575.99",378.76,994.13
"9,576.00","9,599.99",377.76,993.13
"9,600.00","9,623.99",376.76,992.13
"9,624.00","9,647.99",375.76,991.13
"9,648.00","9,671.99",374.76,990.13
"9,672.00","9,695.99",373.76,989.13
"9,696.00","9,719.99",372.76,988.13
"9,720.00","9,743.99",371.76,987.13
"9,744.00","9,767.99",370.76,986.13
"9,768.00","9,791.99",369.76,985.13
"9,792.00","9,815.99",368.76,984.13
"9,816.00","9,839.99",367.76,983.13
"9,840.00","9,863.99",366.76,982.13
"9,864.00","9,887.99",365.76,981.13
"9,888.00","9,911.99",364.76,980.13
"9,912.00","9,935.99",363.76,979.13
"9,936.00","9,959.99",362.76,978.13
"9,960.00","9,983.99",361.76,977.13
"9,984.00","10,007.99",360.76,976.13
"10,008.00","10,031.99",359.76,975.13
"10,032.00","10,055.99",358.76,974.13
"10,056.00","10,079.99",357.76,973.13
"10,080.00","10,103.99",356.76,972.13
"10,104.00","10,127.99",355.76,971.13
"10,128.00","10,151.99",354.76,970.13
"10,152.00","10,175.99",353.76,969.13
"10,176.00","10,199.99",352.76,968.13
"10,200.00","10,223.99",351.76,967.13
"10,224.00","10,247.99",350.76,966.13
"10,248.00","10,271.99",349.76,965.13
"10,272.00","10,295.99",348.76,964.13
"10,296.00","10,319.99",347.76,963.13
"10,320.00","10,343.99",346.76,962.13
"10,344.00","10,367.99",345.76,961.13
"10,368.00","10,391.99",344.76,960.13
"10,392.00","10,415.99",343.76,959.13
"10,416.00","10,439.99",342.76,958.13
"10,440.00","10,463.99",341.76,957.13
"10,464.00","10,487.99",340.76,956.13
"10,488.00","10,511.99",339.76,955.13
"10,512.00","10,535.99",338.76,954.13
"10,536.00","10,559.99",337.76,953.13
"10,560.00","10,583.99",336.76,952.13
"10,584.00","10,607.99",335.76,951.13
"10,608.00","10,631.99",334.76,950.13
"10,632.00","10,655.99",333.76,949.13
"10,656.00","10,679.99",332.76,948.13
"10,680.00","10,703.99",331.76,947.13
"10,704.00","10,727.99",330.76,946.13
"10,728.00","10,751.99",329.76,945.13
"10,752.00","10,775.99",328.76,944.13
"10,776.00","10,799.99",327.76,943.13
"10,800.00","10,823.99",326.76,942.13
"10,824.00","10,847.99",325.76,941.13
"10,848.00","10,871.99",324.76,940.13
"10,872.00","10,895.99",323.76,939.13
"10,896.00","10,919.99",322.76,938.13
"10,920.00","10,943.99",321.76,937.13
"10,944.00","10,967.99",320.76,936.13
"10,968.00","10,991.99",319.76,935.13
"10,992.00","11,015.99",318.76,934.13
"11,016.00","11,039.99",317.76,933.13
"11,040.00","11,063.99",316.76,932.13
"11,064.00","11,087.99",315.76,931.13
"11,088.00","11,111.99",314.76,930.13
"11,112.00","11,135.99",313.76,929.13
"11,136.00","11,159.99",312.76,928.13
"11,160.00","11,183.99",311.76,927.13
"11,184.00","11,207.99",310.76,926.13
"11,208.00","11,231.99",309.76,925.13
"11,232.00","11,255.99",308.76,924.13
"11,256.00","11,279.99",307.76,923.13
"11,280.00","11,303.99",306.76,922.13
"11,304.00","11,327.99",305.76,921.13
"11,328.00","11,351.99",304.76,920.13
"11,352.00","11,375.99",303.76,919.13
"11,376.00","11,399.99",302.76,918.13
"11,400.00","11,423.99",301.76,917.13
"11,424.00","11,447.99",300.76,916.13
"11,448.00","11,471.99",299.76,915.13
"11,472.00","11,495.99",298.76,914.13
"11,496.00","11,519.99",297.76,913.13
"11,520.00","11,543.99",296.76,912.13
"11,544.00","11,567.99",295.76,911.13
"11,568.00","11,591.99",294.76,910.13
"11,592.00","11,615.99",293.76,909.13
"11,616.00","11,639.99",292.76,908.13
"11,640.00","11,663.99",291.76,907.13
"11,664.00","11,687.99",290.76,906.13
"11,688.00","11,711.99",289.76,905.13
"11,712.00","11,735.99",288.76,904.13
"11,736.00","11,759.99",287.76,903.13
"11,760.00","11,783.99",286.76,902.13
"11,784.00","11,807.99",285.76,901.13
"11,808.00","11,831.99",284.76,900.13
"11,832.00","11,855.99",283.76,899.13
"11,856.00","11,879.99",282.76,898.13
"11,880.00","11,903.99",281.76,897.13
"11,904.00","11,927.99",280.76,896.13
"11,928.00","11,951.99",279.76,895.13
"11,952.00","11,975.99",278.76,894.13
"11,976.00","11,999.99",277.76,893.13
"12,000.00","12,023.99",276.76,892.13
"12,024.00","12,047.99",275.76,891.13
"12,048.00","12,071.99",274.76,890.13
"12,072.00","12,095.99",273.76,889.13
"12,096.00","12,119.99",272.76,888.13
"12,120.00","12,143.99",271.76,887.13
"12,144.00","12,167.99",270.76,886.13
"12,168.00","12,191.99",269.76,885.13
"12,192.00","12,215.99",268.76,884.13
"12,216.00","12,239.99",267.76,883.13
"12,240.00","12,263.99",266.76,882.13
"12,264.00","12,287.99",265.76,881.13
"12,288.00","12,311.99",264.76,880.13
"12,312.00","12,335.99",263.76,879.13
"12,336.00","12,359.99",262.76,878.13
"12,360.00","12,383.99",261.76,877.13
"12,384.00","12,407.99",260.76,876.13
"12,408.00","12,431.99",259.76,875.13
"12,432.00","12,455.99",258.76,874.13
"12,456.00","12,479.99",257.76,873.13
"12,480.00","12,503.99",256.76,872.13
"12,504.00","12,527.99",255.76,871.13
"12,528.00","12,551.99",254.76,870.13
"12,552.00","12,575.99",253.76,869.13
"12,576.00","12,599.99",252.76,868.13
"12,600.00","12,623.99",251.76,867.13
"12,624.00","12,647.99",250.76,866.13
"12,648.00","12,671.99",249.76,865.13
"12,672.00","12,695.99",248.76,864.13
"12,696.00","12,719.99",247.76,863.13
"12,720.00","12,743.99",246.76,862.13
"12,744.00","12,767.99",245.76,861.13
"12,768.00","12,791.99",244.76,860.13
"12,792.00","12,815.99",243.76,859.13
"12,816.00","12,839.99",242.76,858.13
"12,840.00","12,863.99",241.76,857.13
"12,864.00","12,887.99",240.76,856.13
"12,888.00","12,911.99",239.76,855.13
"12,912.00","12,935.99",238.76,854.13
"12,936.00","12,959.99",237.76,853.13
"12,960.00","12,983.99",236.76,852.13
"12,984.00","13,007.99",235.76,851.13
"13,008.00","13,031.99",234.76,850.13
"13,032.00","13,055.99",233.76,849.13
"13,056.00","13,079.99",232.76,848.13
"13,080.00","13,103.99",231.76,847.13
"13,104.00","13,127.99",230.76,846.13
"13,128.00","13,151.99",229.76,845.13
"13,152.00","13,175.99",228.76,844.13
"13,176.00","13,199.99",227.76,843.13
"13,200.00","13,223.99",226.76,842.13
"13,224.00","13,247.99",225.76,841.13
"13,248.00","13,271.99",224.76,840.13
"13,272.00","13,295.99",223.76,839.13
"13,296.00","13,319.99",222.76,838.13
"13,320.00","13,343.99",221.76,837.13
"13,344.00","13,367.99",220.76,836.13
"13,368.00","13,391.99",219.76,835.13
"13,392.00","13,415.99",218.76,834.13
"13,416.00","13,439.99",217.76,833.13
"13,440.00","13,463.99",216.76,832.13
"13,464.00","13,487.99",215.76,831.13
"13,488.00","13,511.99",214.76,830.13
"13,512.00","13,535.99",213.76,829.13
"13,536.00","13,559.99",212.76,828.13
"13,560.00","13,583.99",211.76,827.13
"13,584.00","13,607.99",210.76,826.13
"13,608.00","13,631.99",209.76,825.13
"13,632.00","13,655.99",208.76,824.13
"13,656.00","13,679.99",207.76,823.13
"13,680.00","13,703.99",206.76,822.13
"13,704.00","13,727.99",205.76,821.13
"13,728.00","13,751.99",204.76,820.13
"13,752.00","13,775.99",203.76,819.13
"13,776.00","13,799.99",202.76,818.13
"13,800.00","13,823.99",201.76,817.13
"13,824.00","13,847.99",200.76,816.13
"13,848.00","13,871.99",199.76,815.13
"13,872.00","13,895.99",198.76,814.13
"13,896.00","13,919.99",197.76,813.13
"13,920.00","13,943.99",196.76,812.13
"13,944.00","13,967.99",195.76,811.13
"13,968.00","13,991.99",194.76,810.13
"13,992.00","14,015.99",193.76,809.13
"14,016.00","14,039.99",192.76,808.13
"14,040.00","14,063.99",191.76,807.13
"14,064.00","14,087.99",190.76,806.13
"14,088.00","14,111.99",189.76,805.13
"14,112.00","14,135.99",188.76,804.13
"14,136.00","14,159.99",187.76,803.13
"14,160.00","14,183.99",186.76,802.13
"14,184.00","14,207.99",185.76,801.13
"14,208.00","14,231.99",184.76,800.13
"14,232.00","14,255.99",183.76,799.13
"14,256.00","14,279.99",182.76,798.13
"14,280.00","14,303.99",181.76,797.13
"14,304.00","14,327.99",180.76,796.13
"14,328.00","14,351.99",179.76,795.13
"14,352.00","14,375.99",178.76,794.13
"14,376.00","14,399.99",177.76,793.13
"14,400.00","14,423.99",176.76,792.13
"14,424.00","14,447.99",175.76,791.13
"14,448.00","14,471.99",174.76,790.13
"14,472.00","14,495.99",173.76,789.13
"14,496.00","14,519.99",172.76,788.13
"14,520.00","14,543.99",171.76,787.13
"14,544.00","14,567.99",170.76,786.13
"14,568.00","14,591.99",169.76,785.13
"14,592.00","14,615.99",168.76,784.13
"14,616.00","14,639.99",167.76,783.13
"14,640.00","14,663.99",166.76,782.13
"14,664.00","14,687.99",165.76,781.13
"14,688.00","14,711.99",164.76,780.13
"14,712.00","14,735.99",163.76,779.13
"14,736.00","14,759.99",162.76,778.13
"14,760.00","14,783.99",161.76,777.13
"14,784.00","14,807.99",160.76,776.13
"14,808.00","14,831.99",159.76,775.13
"14,832.00","14,855.99",158.76,774.13
"14,856.00","14,879.99",157.76,773.13
"14,880.00","14,903.99",156.76,772.13
"14,904.00","14,927.99",155.76,771.13
"14,928.00","14,951.99",154.76,770.13
"14,952.00","14,975.99",153.76,769.13
"14,976.00","14,999.99",152.76,768.13
"15,000.00","15,023.99",151.76,767.13
"15,024.00","15,047.99",150.76,766.13
"15,048.00","15,071.99",149.76,765.13
"15,072.00","15,095.99",148.76,764.13
"15,096.00","15,119.99",147.76,763.13
"15,120.00","15,143.99",146.76,762.13
"15,144.00","15,167.99",145.76,761.13
"15,168.00","15,191.99",144.76,760.13
"15,192.00","15,215.99",143.76,759.13
"15,216.00","15,239.99",142.76,758.13
"15,240.00","15,263.99",141.76,757.13
"15,264.00","15,287.99",140.76,756.13
"15,288.00","15,311.99",139.76,755.13
"15,312.00","15,335.99",138.76,754.13
"15,336.00","15,359.99",137.76,753.13
"15,360.00","15,383.99",136.76,752.13
"15,384.00","15,407.99",135.76,751.13
"15,408.00","15,431.99",134.76,750.13
"15,432.00","15,455.99",133.76,749.13
"15,456.00","15,479.99",132.76,748.13
"15,480.00","15,503.99",131.76,747.13
"15,504.00","15,527.99",130.76,746.13
"15,528.00","15,551.99",129.76,745.13
"15,552.00","15,575.99",128.76,744.13
"15,576.00","15,599.99",127.76,743.13
"15,600.00","15,623.99",126.76,742.13
"15,624.00","15,647.99",125.76,741.13
"15,648.00","15,671.99",124.76,740.13
"15,672.00","15,695.99",123.76,739.13
"15,696.00","15,719.99",122.76,738.13
"15,720.00","15,743.99",121.76,737.13
"15,744.00","15,767.99",120.76,736.13
"15,768.00","15,791.99",119.76,735.13
"15,792.00","15,815.99",118.76,734.13
"15,816.00","15,839.99",117.76,733.13
"15,840.00","15,863.99",116.76,732.13
"15,864.00","15,887.99",115.76,731.13
"15,888.00","15,911.99",114.76,730.13
"15,912.00","15,935.99",113.76,729.13
"15,936.00","15,959.99",112.76,728.13
"15,960.00","15,983.99",111.76,727.13
"15,984.00","16,007.99",110.76,726.13
"16,008.00","16,031.99",109.76,725.13
"16,032.00","16,055.99",108.76,724.13
"16,056.00","16,079.99",107.76,723.13
"16,080.00","16,103.99",106.76,722.13
"16,104.00","16,127.99",105.76,721.13
"16,128.00","16,151.99",104.76,720.13
"16,152.00","16,175.99",103.76,719.13
"16,176.00","16,199.99",102.76,718.13
"16,200.00","16,223.99",101.76,717.13
"16,224.00","16,247.99",100.76,716.13
"16,248.00","16,271.99",99.76,715.13
"16,272.00","16,295.99",98.76,714.13
"16,296.00","16,319.99",97.76,713.13
"16,320.00","16,343.99",96.76,712.13
"16,344.00","16,367.99",95.76,711.13
"16,368.00","16,391.99",94.76,710.13
"16,392.00","16,415.99",93.76,709.13
"16,416.00","16,439.99",92.76,708.13
"16,440.00","16,463.99",91.76,707.13
"16,464.00","16,487.99",90.76,706.13
"16,488.00","16,511.99",89.76,705.13
"16,512.00","16,535.99",88.76,704.13
"16,536.00","16,559.99",87.76,703.13
"16,560.00","16,583.99",86.76,702.13
"16,584.00","16,607.99",85.76,701.13
"16,608.00","16,631.99",84.76,700.13
"16,632.00","16,655.99",83.76,699.13
"16,656.00","16,679.99",82.76,698.13
"16,680.00","16,703.99",81.76,697.13
"16,704.00","16,727.99",80.76,696.13
"16,728.00","16,751.99",79.76,695.13
"16,752.00","16,775.99",78.76,694.13
"16,776.00","16,799.99",77.76,693.13
"16,800.00","16,823.99",76.76,692.13
"16,824.00","16,847.99",75.76,691.13
"16,848.00","16,871.99",74.76,690.13
"16,872.00","16,895.99",73.76,689.13
"16,896.00","16,919.99",72.76,688.13
"16,920.00","16,943.99",71.76,687.13
"16,944.00","16,967.99",70.76,686.13
"16,968.00","16,991.99",69.76,685.13
"16,992.00","17,015.99",68.76,684.13
"17,016.00","17,039.99",67.76,683.13
"17,040.00","17,063.99",66.76,682.13
"17,064.00","17,087.99",65.76,681.13
"17,088.00","17,111.99",64.76,680.13
"17,112.00","17,135.99",63.76,679.13
"17,136.00","17,159.99",62.76,678.13
"17,160.00","17,183.99",61.76,677.13
"17,184.00","17,207.99",60.76,676.13
"17,208.00","17,231.99",59.76,675.13
"17,232.00","17,255.99",58.76,674.13
"17,256.00","17,279.99",57.76,673.13
"17,280.00","17,303.99",56.76,672.13
"17,304.00","17,327.99",55.76,671.13
"17,328.00","17,351.99",54.76,670.13
"17,352.00","17,375.99",53.76,669.13
"17,376.00","17,399.99",52.76,668.13
"17,400.00","17,423.99",51.76,667.13
"17,424.00","17,447.99",50.76,666.13
"17,448.00","17,471.99",49.76,665.13
"17,472.00","17,495.99",48.76,664.13
"17,496.00","17,519.99",47.76,663.13
"17,520.00","17,543.99",46.76,662.13
"17,544.00","17,567.99",45.76,661.13
"17,568.00","17,591.99",44.76,660.13
"17,592.00","17,615.99",43.76,659.13
"17,616.00","17,639.99",42.76,658.13
"17,640.00","17,663.99",41.76,657.13
"17,664.00","17,687.99",40.76,656.13
"17,688.00","17,711.99",39.76,655.13
"17,712.00","17,735.99",38.76,654.13
"17,736.00","17,759.99",37.76,653.13
"17,760.00","17,783.99",36.76,652.13
"17,784.00","17,807.99",35.76,651.13
"17,808.00","17,831.99",34.76,650.13
"17,832.00","17,855.99",33.76,649.13
"17,856.00","17,879.99",32.76,648.13
"17,880.00","17,903.99",31.76,647.13
"17,904.00","17,927.99",30.76,646.13
"17,928.00","17,951.99",29.76,645.13
"17,952.00","17,975.99",28.76,644.13
"17,976.00","17,999.99",27.76,643.13
"18,000.00","18,023.99",26.76,642.13
"18,024.00","18,047.99",25.76,641.13
"18,048.00","18,071.99",24.76,640.13
"18,072.00","18,095.99",23.76,639.13
"18,096.00","18,119.99",22.76,638.13
"18,120.00","18,143.99",21.76,637.13
"18,144.00","18,167.99",20.76,636.13
"18,168.00","18,191.99",19.76,635.13
"18,192.00","18,215.99",18.76,634.13
"18,216.00","18,239.99",17.76,633.13
"18,240.00","18,263.99",16.76,632.13
"18,264.00","18,287.99",15.76,631.13
"18,288.00","18,311.99",14.76,630.13
"18,312.00","18,335.99",13.76,629.13
"18,336.00","18,359.99",12.76,628.13
"18,360.00","18,383.99",11.76,627.13
"18,384.00","18,407.99",10.76,626.13
"18,408.00","18,431.99",9.76,625.13
"18,432.00","18,455.99",8.76,624.13
"18,456.00","18,479.99",7.76,623.13
"18,480.00","18,503.99",6.76,622.13
"18,504.00","18,527.99",5.76,621.13
"18,528.00","18,551.99",4.76,620.13
"18,552.00","18,575.99",3.76,619.13
"18,576.00","18,599.99",2.76,618.13
"18,600.00","18,623.99",1.76,617.13
"18,624.00","18,647.99",0.76,616.13
